,lexid,street_name,city,state,zip
0,0,140 Jason Way Apt. 304,East Annaside,IN,13590
1,1,303 Lee Plain,North Gina,PY,19595
2,2,5791 Campbell Crossing Suite 313,Lake Joshuabury,NZ,93703
3,3,0698 Kevin Rue,South Michaelshire,BH,74124
4,4,5275 Michael Center Suite 458,Port Kirsten,MY,74474
5,5,2469 Fields Mission,Brandonfurt,CI,13036
6,6,42787 Johnson Valley Suite 991,North Russell,NP,26102
7,7,93591 Jamie Drives,Yorkhaven,ID,27913
8,8,72947 Benjamin Street,Murphyshire,ID,16634
9,9,6286 Schmidt Station,Garciafurt,BR,9811
10,10,912 Christopher Crossing,Contrerasshire,GR,20754
11,11,1273 Cobb Mill,Danielton,KW,83780
12,12,6554 Griffin Manors,Tuckershire,MN,62693
13,13,0844 Joel Light Apt. 816,Mayberg,FJ,27941
14,14,4779 Olson Isle,South Hollyfurt,JP,6826
15,15,222 Lisa Oval Suite 937,South Julie,FM,44187
16,16,1913 Gina Mills Apt. 309,East Amber,HT,41128
17,17,701 Candice Ports,New Alexanderview,NZ,52083
18,18,391 Ashley Union Suite 295,Chadmouth,PW,85528
19,19,3113 Howe Unions Suite 073,Robinview,TO,41826
20,20,16974 Lawson Plains,New Laura,TV,93080
21,21,00448 Charles Spur,Mullinsbury,FR,34897
22,22,4877 Carlos Trail Apt. 417,Lake Richardborough,CH,78346
23,23,8018 Julie Radial Apt. 668,Lake Jacobfort,UA,60791
24,24,011 Weeks Club,New Melodystad,PT,58205
25,25,059 Jamie Springs Apt. 352,Harrisonmouth,YE,71400
26,26,6248 Brandon Expressway Suite 163,Wrightside,BR,14706
27,27,5586 Gloria Vista,North Sandra,ME,89479
28,28,47659 William Union Suite 920,Williammouth,CD,99132
29,29,88240 Jessica Ridges,West Scottfurt,SV,39544
30,30,22982 Larry Lake,East Daniel,MH,66587
31,31,12952 Shields Canyon Apt. 678,Lynchmouth,SM,2017
